model,split,class_name,precision,recall,f1,support
random_forest,validation,door_open_close,0.10845799769850403,0.7650938609842719,0.18998425196850394,1971
random_forest,validation,footsteps,0.27482585919060504,0.9062262718299164,0.4217500773002341,5268
random_forest,validation,keyboard_typing,0.24673008323424495,0.14922689679971232,0.18597356038539098,2781
random_forest,validation,keychain,0.1506745681502963,0.6480477223427332,0.2445012787723785,1844
random_forest,validation,light_switch,0.03905745642349903,0.491869918699187,0.07236842105263158,492
random_forest,validation,microwave,0.265661252900232,0.6921914357682619,0.38395975967584184,1985
random_forest,validation,phone_ringing,0.22993119266055045,0.7663640707118968,0.35373249531370604,2093
random_forest,validation,running_water,0.49173989455184536,0.7114162217137046,0.581523433440715,3933
random_forest,validation,toilet_flushing,0.24458700882117082,0.3118609406952965,0.27415730337078653,978
random_forest,validation,vacuum_cleaner,0.5243445692883895,0.7312826465467208,0.6107610276296656,1723
random_forest,validation,wardrobe_drawer_open_close,0.10352112676056338,0.14134615384615384,0.11951219512195121,1040
random_forest,validation,window_open_close,0.10990712074303406,0.1109375,0.1104199066874028,640
random_forest,test,bell_ringing,0.38767395626242546,0.3884462151394422,0.3880597014925373,502
random_forest,test,coffee_machine,0.2744462452728255,0.4467897977132806,0.34002677376171353,1137
random_forest,test,cutlery_dishes,0.1968894771674388,0.5270150575730735,0.2866779089376054,2258
random_forest,test,door_open_close,0.10543401552575865,0.8159475696340798,0.1867383288544466,1831
random_forest,test,footsteps,0.22599849719669382,0.9261013737565135,0.36333224922176277,4222
random_forest,test,keyboard_typing,0.22513440860215053,0.11709192590003495,0.15405840423085768,2861
random_forest,test,keychain,0.1525121748426179,0.7465116279069768,0.25327941611598775,1720
random_forest,test,light_switch,0.04915227873697309,0.5602836879432624,0.09037609037609037,564
random_forest,test,microwave,0.2896262242654407,0.7057963955187531,0.4107142857142857,2053
random_forest,test,phone_ringing,0.21978188427749168,0.7302466029189734,0.3378740249155897,1987
random_forest,test,running_water,0.407098816863856,0.7509990777743621,0.5279878971255674,3253
random_forest,test,toilet_flushing,0.2929936305732484,0.3521531100478469,0.31986093003042154,1045
random_forest,test,vacuum_cleaner,0.5359019264448336,0.6517571884984026,0.5881787602114368,1878
random_forest,test,wardrobe_drawer_open_close,0.11101836393989983,0.12058023572076156,0.1156019122120817,1103
random_forest,test,window_open_close,0.07964601769911504,0.05867014341590613,0.06756756756756757,767
