wav,support,TP,FP,FN,f1,recall,n_ws
002492.wav,35,7,21,28,0.2222222222222222,0.2,33
002836.wav,31,4,1,27,0.2222222222222222,0.12903225806451613,36
001840.wav,21,4,11,17,0.2222222222222222,0.19047619047619047,24
001551.wav,4,1,4,3,0.2222222222222222,0.25,33
000225.wav,35,6,14,29,0.21818181818181817,0.17142857142857143,24
000974.wav,17,2,0,15,0.21052631578947367,0.11764705882352941,17
000097.wav,23,4,11,19,0.21052631578947367,0.17391304347826086,26
003983.wav,17,4,17,13,0.21052631578947367,0.23529411764705882,26
002388.wav,38,6,14,32,0.20689655172413793,0.15789473684210525,29
002348.wav,22,3,6,19,0.1935483870967742,0.13636363636363635,25
002551.wav,17,3,11,14,0.1935483870967742,0.17647058823529413,31
000973.wav,18,2,1,16,0.19047619047619047,0.1111111111111111,16
000099.wav,18,2,1,16,0.19047619047619047,0.1111111111111111,18
000409.wav,32,4,6,28,0.19047619047619047,0.125,36
005110.wav,68,9,18,59,0.18947368421052632,0.1323529411764706,30
001411.wav,29,3,0,26,0.1875,0.10344827586206896,30
003935.wav,14,2,6,12,0.18181818181818182,0.14285714285714285,24
002550.wav,21,3,9,18,0.18181818181818182,0.14285714285714285,27
001609.wav,20,2,1,18,0.17391304347826086,0.1,17
002552.wav,41,5,13,36,0.1694915254237288,0.12195121951219512,26
001422.wav,17,2,5,15,0.16666666666666666,0.11764705882352941,19
001092.wav,32,4,12,28,0.16666666666666666,0.125,27
001407.wav,46,4,5,42,0.14545454545454545,0.08695652173913043,34
000350.wav,16,2,11,14,0.13793103448275862,0.125,22
005196.wav,28,3,13,25,0.13636363636363635,0.10714285714285714,19
003832.wav,12,1,2,11,0.13333333333333333,0.08333333333333333,17
001535.wav,22,2,7,20,0.12903225806451613,0.09090909090909091,29
005541.wav,28,3,16,25,0.1276595744680851,0.10714285714285714,26
003090.wav,15,1,0,14,0.125,0.06666666666666667,15
000224.wav,11,1,4,10,0.125,0.09090909090909091,16
002115.wav,33,3,14,30,0.12,0.09090909090909091,24
002493.wav,13,1,3,12,0.11764705882352941,0.07692307692307693,22
002891.wav,21,2,11,19,0.11764705882352941,0.09523809523809523,26
002898.wav,61,4,6,57,0.11267605633802817,0.06557377049180328,30
002639.wav,15,1,2,14,0.1111111111111111,0.06666666666666667,20
005501.wav,26,2,12,24,0.1,0.07692307692307693,26
005389.wav,38,2,0,36,0.1,0.05263157894736842,19
002735.wav,50,3,11,47,0.09375,0.06,33
003085.wav,20,2,21,18,0.09302325581395349,0.1,15
004398.wav,15,1,6,14,0.09090909090909091,0.06666666666666667,22
000651.wav,8,1,14,7,0.08695652173913043,0.125,17
003275.wav,27,1,2,26,0.06666666666666667,0.037037037037037035,28
005109.wav,10,1,21,9,0.0625,0.1,24
001016.wav,16,1,18,15,0.05714285714285714,0.0625,23
002487.wav,17,1,19,16,0.05405405405405406,0.058823529411764705,16
000164.wav,5,0,3,5,0.0,0.0,21
002479.wav,4,0,9,4,0.0,0.0,14
001714.wav,33,0,22,33,0.0,0.0,30
002781.wav,3,0,11,3,0.0,0.0,21
001416.wav,45,0,6,45,0.0,0.0,33
005649.wav,7,0,7,7,0.0,0.0,18
003497.wav,9,0,4,9,0.0,0.0,29
003597.wav,11,0,4,11,0.0,0.0,21
003829.wav,13,0,2,13,0.0,0.0,16
000909.wav,30,0,19,30,0.0,0.0,27
000685.wav,15,0,5,15,0.0,0.0,17
001550.wav,17,0,5,17,0.0,0.0,30
001752.wav,5,0,3,5,0.0,0.0,18
004400.wav,10,0,7,10,0.0,0.0,12
002181.wav,6,0,13,6,0.0,0.0,22
004482.wav,16,0,3,16,0.0,0.0,16
003108.wav,18,0,11,18,0.0,0.0,25
001552.wav,13,0,4,13,0.0,0.0,23
000351.wav,17,0,10,17,0.0,0.0,17
002193.wav,5,0,8,5,0.0,0.0,27
004839.wav,9,0,4,9,0.0,0.0,17
000212.wav,6,0,5,6,0.0,0.0,16
002484.wav,11,0,8,11,0.0,0.0,15
