wav,support,TP,FP,FN,f1,recall,n_ws
004020.wav,13,6,9,7,0.42857142857142855,0.46153846153846156,22
002545.wav,28,9,5,19,0.42857142857142855,0.32142857142857145,31
001437.wav,14,7,12,7,0.42424242424242425,0.5,33
001834.wav,18,5,1,13,0.4166666666666667,0.2777777777777778,20
003835.wav,16,6,7,10,0.41379310344827586,0.375,15
000555.wav,22,6,1,16,0.41379310344827586,0.2727272727272727,26
001746.wav,9,6,14,3,0.41379310344827586,0.6666666666666666,17
005502.wav,17,7,10,10,0.4117647058823529,0.4117647058823529,24
001446.wav,50,15,8,35,0.410958904109589,0.3,32
000134.wav,26,8,5,18,0.41025641025641024,0.3076923076923077,21
004493.wav,31,9,4,22,0.4090909090909091,0.2903225806451613,29
000412.wav,9,4,7,5,0.4,0.4444444444444444,22
005344.wav,21,6,3,15,0.4,0.2857142857142857,22
000190.wav,11,3,1,8,0.4,0.2727272727272727,13
000223.wav,13,4,3,9,0.4,0.3076923076923077,16
002942.wav,8,3,4,5,0.4,0.375,17
003286.wav,23,9,14,14,0.391304347826087,0.391304347826087,25
005539.wav,24,8,9,16,0.3902439024390244,0.3333333333333333,25
002117.wav,26,8,7,18,0.3902439024390244,0.3076923076923077,22
004209.wav,19,5,2,14,0.38461538461538464,0.2631578947368421,20
000912.wav,29,11,18,18,0.3793103448275862,0.3793103448275862,27
002188.wav,39,11,8,28,0.3793103448275862,0.28205128205128205,24
002285.wav,28,7,2,21,0.3783783783783784,0.25,28
003962.wav,27,7,3,20,0.3783783783783784,0.25925925925925924,19
003932.wav,17,6,9,11,0.375,0.35294117647058826,23
003441.wav,12,3,1,9,0.375,0.25,28
002326.wav,8,3,5,5,0.375,0.375,22
000216.wav,34,9,6,25,0.3673469387755102,0.2647058823529412,22
002526.wav,21,6,6,15,0.36363636363636365,0.2857142857142857,26
001498.wav,31,8,5,23,0.36363636363636365,0.25806451612903225,22
000786.wav,23,8,13,15,0.36363636363636365,0.34782608695652173,22
002309.wav,32,11,18,21,0.36065573770491804,0.34375,18
002323.wav,17,5,6,12,0.35714285714285715,0.29411764705882354,20
001442.wav,24,6,4,18,0.35294117647058826,0.25,27
002841.wav,39,10,8,29,0.3508771929824561,0.2564102564102564,34
003440.wav,25,7,8,18,0.35,0.28,21
004395.wav,11,4,8,7,0.34782608695652173,0.36363636363636365,18
002533.wav,19,4,0,15,0.34782608695652173,0.21052631578947367,20
000980.wav,18,5,6,13,0.3448275862068966,0.2777777777777778,19
000972.wav,15,3,0,12,0.3333333333333333,0.2,16
001414.wav,29,8,11,21,0.3333333333333333,0.27586206896551724,33
003830.wav,16,5,9,11,0.3333333333333333,0.3125,23
004222.wav,18,5,7,13,0.3333333333333333,0.2777777777777778,34
005102.wav,13,3,2,10,0.3333333333333333,0.23076923076923078,25
005104.wav,10,2,0,8,0.3333333333333333,0.2,25
000361.wav,8,4,12,4,0.3333333333333333,0.5,34
002415.wav,23,9,23,14,0.32727272727272727,0.391304347826087,34
002114.wav,16,4,5,12,0.32,0.25,25
002546.wav,28,6,4,22,0.3157894736842105,0.21428571428571427,24
000908.wav,25,6,7,19,0.3157894736842105,0.24,29
001281.wav,44,9,4,35,0.3157894736842105,0.20454545454545456,32
001444.wav,24,5,3,19,0.3125,0.20833333333333334,20
005384.wav,35,10,20,25,0.3076923076923077,0.2857142857142857,19
000092.wav,43,8,1,35,0.3076923076923077,0.18604651162790697,21
002734.wav,32,10,23,22,0.3076923076923077,0.3125,34
000971.wav,19,4,3,15,0.3076923076923077,0.21052631578947367,19
002093.wav,21,5,7,16,0.30303030303030304,0.23809523809523808,23
003227.wav,16,5,12,11,0.30303030303030304,0.3125,17
004549.wav,27,5,1,22,0.30303030303030304,0.18518518518518517,21
000198.wav,38,8,7,30,0.3018867924528302,0.21052631578947367,19
002183.wav,20,4,3,16,0.2962962962962963,0.2,30
002079.wav,18,4,5,14,0.2962962962962963,0.2222222222222222,17
002482.wav,13,4,10,9,0.2962962962962963,0.3076923076923077,16
000071.wav,25,6,10,19,0.2926829268292683,0.24,18
000214.wav,21,8,26,13,0.2909090909090909,0.38095238095238093,21
000984.wav,26,8,22,18,0.2857142857142857,0.3076923076923077,23
002321.wav,13,4,11,9,0.2857142857142857,0.3076923076923077,25
002532.wav,10,2,2,8,0.2857142857142857,0.2,23
001503.wav,71,12,3,59,0.27906976744186046,0.16901408450704225,28
002641.wav,34,6,3,28,0.27906976744186046,0.17647058823529413,21
003272.wav,26,6,12,20,0.2727272727272727,0.23076923076923078,33
001019.wav,40,8,11,32,0.2711864406779661,0.2,31
002491.wav,27,6,12,21,0.26666666666666666,0.2222222222222222,29
004832.wav,44,10,21,34,0.26666666666666666,0.22727272727272727,34
002263.wav,31,6,8,25,0.26666666666666666,0.1935483870967742,28
000227.wav,41,8,11,33,0.26666666666666666,0.1951219512195122,26
004216.wav,42,7,4,35,0.2641509433962264,0.16666666666666666,25
002076.wav,23,5,10,18,0.2631578947368421,0.21739130434782608,25
003594.wav,28,5,5,23,0.2631578947368421,0.17857142857142858,20
005540.wav,22,5,11,17,0.2631578947368421,0.22727272727272727,22
003438.wav,13,3,7,10,0.2608695652173913,0.23076923076923078,23
002547.wav,21,4,6,17,0.25806451612903225,0.19047619047619047,27
005190.wav,17,4,10,13,0.25806451612903225,0.23529411764705882,16
003875.wav,17,4,11,13,0.25,0.23529411764705882,21
003089.wav,21,3,0,18,0.25,0.14285714285714285,16
001837.wav,19,3,2,16,0.25,0.15789473684210525,25
000792.wav,40,6,3,34,0.24489795918367346,0.15,33
000649.wav,16,5,20,11,0.24390243902439024,0.3125,28
005345.wav,23,4,6,19,0.24242424242424243,0.17391304347826086,19
001083.wav,32,8,26,24,0.24242424242424243,0.25,32
005608.wav,13,2,2,11,0.23529411764705882,0.15384615384615385,21
005348.wav,17,4,13,13,0.23529411764705882,0.23529411764705882,22
005025.wav,22,4,8,18,0.23529411764705882,0.18181818181818182,32
003591.wav,28,4,3,24,0.22857142857142856,0.14285714285714285,20
